aadcdn.msauth.neti
aadcdn.msftauth.net
aadcdn.msftauthimages.net
aadrm.com
aaplimg.com
accounts.bandlab.com
accounts.classcraft.com
accounts.google.com
accounts.google.es
accounts.youtube.com
acompli.net
adjust.com
adobe.io
adservice.google.es
adventuremachine.4thfloorcreative.co.uk
aefd.nelreports.net
agilix.com
agilixbuzz.com
ahotsak.eus
aidc.apple.com
airwatch.co.uk
airwatch.com
aka.ms
akadns.net
akamai.net
akamaiedge.net
alexanderchen.github.io
alexiaclassroom.com
alexiaeditorial.com
alexiaedu.com
alexiaeducaria.com
amazon-adsystem.com
amazonaws.com
anayaeducacion.es
android.clients.google.com
any.proxy.k8s.ikarem.io
api.agilixbuzz.com
api.amplitude.com
api.apple-cloudkit.com
api.apptentive.com
api.e2.agilixbuzz.com
api.msn.com
api.segment.io
api.weather.com
api2.branch.io
apis.google.com
aplicaciones.info
app-emat-digital-api-pro-we.azurewebsites.net
app-measurement.com
app.burlingtonenglish.com
app.classcraft.com
appinventor.mit.edu
apple-dns.net
apple.com
apple.com.edgekey.net
apple.news
apprender.sm
apps-mzstatic-cdn.itunes-apple.com.akadns.net
apps.mzstatic.com
apps.mzstatic.com.edgekey.net
appspot.com
artehistoria.com
assets-yammer.com
assets.prezicdn.net
atdmt.com
audicrea.com
aulapaneta.com
aulaplaneta.com
aulavirtual.santillana.es
autodesk.com
avl.gva.es
awmdm.co.uk
awmdm.com
azure.com
azureedge.net
azureedge.us
azurerms.com
azurewebsites.net
azurewebsites.windows.net
b4a.io
baamboozle.com
babadum.com
back4app.com
basejumper.apple.com
beepbox.co
bestmatchproduce.com
bigsoundbank.com
blinklearning.com
blinklearning.net
blob.core.windows.net
blogspot.com
blokdust.com
blooket.com
books-analytics-events.apple.com
browser.sentry-cdn.com
bucket.thinkolms.com
bundler.wix-code.com
burlington.com
burlingtonbooks.com
calendar.google.com
cambridge.es
canva.com
canvas.apps.chrome
cdn-apple.com
cdn.cookielaw.org
cdn.inlinemanual.com
cdn.jifo.co
cdn.onesignal.com
cdn.polyfill.io
cec.ceoc.cx
chat.openai.com
cl2.apple.com
cl4.apple.com
cl5.apple.com
clarity.ms
classdojo.com
classinthebox.io
classroom.google.com
clients1.google.com
clients2.google.com
clients3.google.com
clients4.google.com
clients5.google.com
clients6.google.com
cloudapp.net
cloudappsecurity.com
cloudflare.com
cloudfront.net
code.ionicframework.com
code.org
colegia.org
configuration.apple.com
contest.thebigchallenge.com
core.windows.net
crashlytics.com
dc.services.visualstudio.com
designer.voxvote.com
dictionary.cambridge.org
didactaplus.com
digicert.com
dle.rae.es
docs.google.com
doubleclick.net
drive.google.com
ducksters.com
duolingo.com
dw.com
e17437.dscb.akamaiedge.net
e4478.a.akamaiedge.net
ecasals.net
edebe.com
edelvives.com
edelvivesdigital.com
edgekey.net
edgesuite.net
editora-sc.es
editorial-bruno.es
edmodo.com
edmodoqabranch.com
edpuzzle.com
edu.bandlab.com
educamos.com
educamos.sm
edudevsm.com
ekr.zdassets.com
elhuyar.eus
ematdigital.com
energy.gov
englishpage.com
englishrevealed.co.uk
entrust.net
esl-bits.net
esl-lounge.com
exam-prep-api.dnpd.cloud
explaineverything.com
ezmp3.cc
ffice365.com
files.getkahoot.com
film-english.com
firebaseio.com
flat.io
flo-joe.co.uk
flurry.com
fontawesome.com
fonts.googleapis.com
fonts.gstatic.com
footballia.net
forms.gle
fpgedsewst.com
funbasedlearning.com
g.live.com
g2crowd.com
gdmf.apple.com
genial.ly
genially.com
geogebra.org
geotrust.com
getmicrosoftkey.com
getmp3.pro
getsentry.net
gigya.com
globalcitizen.org
globaleduca.es
globalsign.net
godaddy.com
google-analytics.com
google.ie
googleadservices.com
googleapis.com
googleapis.l.google.com
googlecode.com
googledrive.com
googlemail.l.google.com
googlesyndication.com
googletagmanager.com
googleusercontent.com
googlevideo.com
gp.symcb.com
grammarbank.com
graph.facebook.com
grupo-sm.com
gsa.apple.com
gsas.apple.com
gspe1-ssl.ls.apple.com
gspe79-ssl.ls.apple.com
gstatic.com
guitarflash.com
happylearning.tv
hotjar.com
hubapi.com
hubspot.com
i.pinimg.com
i.ytimg.com
icloud-content.com
icloud.com
identrust.com
idoceo.net
ikasgune.com
ikasgune.eus
images.chesscomfiles.com
imtcast.metered.live
imtlazarus.com
inbox.google.com
init.push.apple.com
inlinemanual.com
innovamat.com
intercom.io
intercomcdn.com
intermatia.com
ios.meraki.com
isleoftune.com
itunes.apple.com
itunes.com
itunes.g.aaplimg.com
jamboard.google.com
jamf.com
jamfcloud.com
jamfschool.com
jesusfelipe.es
join.nearpod.com
joinmyquiz.com
jquery.com
js.hs-analytics.net
jsdelivr.net
